lead_id,company,domain,website,source_query,title,description,emails,email_titles,email_phones,phones,contact_page,linkedin,detected_tech,categories,reseller_score,priority,reasons,suggested_angle,status,country,country_name,notes,crawled_at
adcomer_com,Adcomer,adcomer.com,https://adcomer.com/,Sortlist NO – web design,Adcomer | Digital markedsføring,"Vi hjelper små og mellomstore bedrifter med Facebook Ads, Google Ads, SEO og moderne nettsider. Øk synlighet og få flere kundehenvendelser med en datadrevet strategi",eksempel@mittnettsted.com,,,,https://www.adcomer.com/om-oss,https://www.linkedin.com/company/adcomer-as/?viewAsMember=true,"Magento, Shopify, Wix, Wix.com Website Builder, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider, digitalbyrå, web design; wordpress: wordpress, divi; seo: seo, søkemotoroptimalisering, google ads, synlighet; communication: kommunikasjon, innhold, content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: våre kunder, partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:16+00:00
solans_no,Solans,solans.no,https://solans.no/,Sortlist NO – web design,Solan's |  AI optimaliserte nettsider,"Fra søk til salg, vi lager nettsidene som får din merkevare opp og frem. Solan's er nettsidebyrået for små og mellomstore bedrifter i vekst. Vi er rå på design, innhold og er sertifisert Webflow partner.","arne@nrk.no, gundersen@solans.no, hei@solans.no, solansen@solans.no","lead-generator is-submit w-button"" value=""Få rapport""/> Få s, lead-generator is-disabled w-inline-block"">  <, , ",", +47 94 86 73 75, , +47 57 23 55 47",+47 94 86 73 75,,,"HubSpot, Magento, Webflow, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: webdesign, nettside, nettsider, website; wordpress: wordpress; seo: seo, synlighet; communication: innhold, content; public_sector: kommune, offentlig, stat; ai_interest: ai, ki, kunstig intelligens; has services/customers/cases language; offers maintenance/support; agency language: våre kunder, partner, vi hjelper bedrifter",BlueSearch embeds in Webflow/Framer sites with a single script tag — easy win for clients.,New,NO,Norway,,2026-05-24T22:25:17+00:00
www_grid_no,Grid,grid.no,http://www.grid.no/,Sortlist NO – web design,Grid branding | Merkevarebyrå med 40 års erfaring,"Vi skaper merkevarer som lykkes. Med en strategisk tilnærming til merkevarebygging, leverer vi løsninger som skaper varig verdi for våre kunder. Les mer.","anne.fjeldstad@grid.no, caroline.moen@grid.no, eli.trosterud@grid.no, elisabeth.thomassen@grid.no, fanny.ferd@grid.no, harald.viberg@grid.no, henning.gustavsen@grid.no, ida.sorhaug@grid.no, kjetil.evensen@grid.no, kontakt@grid.no, kristian.lyse@grid.no, marianne.salomonsen@grid.no, marte.vigdal@grid.no, mette.skyberg@grid.no, ronny.haga@grid.no, sidsel.lie@grid.no, stine.strand@grid.no, thomas.grotle@grid.no, thomas.higgins@grid.no, thomas.joyce@grid.no, tone.skree@grid.no, vidar.lunde@grid.no",", , partner <a href=""mailto:eli.trosterud@grid.no"" rel=""noopener, , , partner <a href=""mailto:harald.viberg@grid.no"" rel=""noopener, partner <a href=""mailto:henning.gustavsen@grid.no"" rel=""noop, , partner <a href=""mailto:kjetil.evensen@grid.no"" rel=""noopene, , , , , , , , , partner <a href=""mailto:thomas.grotle@grid.no"" rel=""noopener, partner <a href=""mailto:thomas.higgins@grid.no"" rel=""noopene, partner <a href=""mailto:thomas.joyce@grid.no"" rel=""noopener , partner <a href=""mailto:tone.skree@grid.no"" rel=""noopener no, ","+47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 90 85 81 11, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37, +47 92 45 92 37","+47 41 23 79 80, +47 41 29 87 84, +47 41 52 56 36, +47 41 91 90 30, +47 90 01 94 07, +47 90 12 55 84, +47 90 12 92 22, +47 90 64 87 74, +47 91 33 29 14, +47 91 51 93 00, +47 92 29 52 56, +47 92 45 92 37, +47 93 02 35 42, +47 93 22 91 13, +47 93 24 51 91, +47 93 66 88 85, +47 95 81 40 86, +47 95 97 07 91, +47 97 51 57 67, +47 97 52 30 68, +47 98 26 83 45",http://www.grid.no/kontakt,https://www.linkedin.com/company/grid-branding-as/,"Magento, Sanity","ai_interest, communication, public_sector, seo, web_agency",100,A - High fit,"web_agency: website; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; agency language: våre kunder, partner, portefølje","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:18+00:00
www_vaersaagod_no,Vaersaagod,vaersaagod.no,https://www.vaersaagod.no/,Sortlist NO – web development,"Fin, rask og tilgjengelig nettside? Værsågod!","Værsågod er et lite digitalbyrå med tung kompetanse innen utvikling av moderne nettsider. Vi tror på at nettsider kan være visuelt engasjerende og interessante, samtidig som de er tilgjengelige og effektive.","alexander@vaersaagod.no, andre@vaersaagod.no, hei@vaersaagod.no, linda@vaersaagod.no, mats@vaersaagod.no, mux-video@0.js",", Daglig leder &&nbsp;utvikler, , , , ","+47 91 85 80 47, +47 95 75 88 02, , +47 97 77 72 91, +47 45 24 32 24, ","+47 45 24 32 24, +47 91 85 80 47, +47 95 75 88 02, +47 97 77 72 91",https://www.vaersaagod.no/#about,,Magento,"ai_interest, communication, public_sector, seo, web_agency",100,A - High fit,"web_agency: nettside, nettsider, digitalbyrå, website; seo: seo; communication: content; public_sector: kommune, stat, helse, universitet; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: vi utvikler, partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:26+00:00
www_graphiq_design,Graphiq,graphiq.design,http://www.graphiq.design/,Sortlist NO – web development,Markedsføringsmaskineriet – Klingit,"I motsetning til tradisjonelle byråer, har vi bygget vårt tilbud som en plug & #x2d; og& #x2d; play & #x2d;løsning for alle typer varemerke - og markedsføringsbehov.",email@sendto.com,,,,https://klingit.com/no/om-oss/,https://www.linkedin.com/company/klingit,"HubSpot, Magento, Shopify, Webflow, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: webdesign, nettside, nettsider, webutvikling; wordpress: wordpress, wp-content; seo: seo, google ads; communication: kommunikasjon, innhold, content; public_sector: stat, helse; ai_interest: ai, ki, automatisering; has services/customers/cases language; agency language: våre kunder, partner",BlueSearch embeds in Webflow/Framer sites with a single script tag — easy win for clients.,New,NO,Norway,,2026-05-24T22:25:29+00:00
www_lomi_agency,Lomi,lomi.agency,https://www.lomi.agency/,Sortlist NO – digital agencies,Lomi Agency | Strategy & Execution Design Consultancy in Oslo,Most strategies fail in execution. Lomi is the consultancy that bridges strategy and design — helping ambitious brands turn bold ideas into real outcomes.,hello@lomi.agency,,,+47 98 22 81 75,https://www.lomi.agency/about,https://www.linkedin.com/company/lomiagency/,"Magento, Webflow","ai_interest, communication, public_sector, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: divi; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; agency language: partner",BlueSearch embeds in Webflow/Framer sites with a single script tag — easy win for clients.,New,NO,Norway,,2026-05-24T22:25:30+00:00
www_karpi_studio,Karpi,karpi.studio,https://www.karpi.studio/,Sortlist NO – web development,Webflow AEO & CRO Agency for B2B SaaS | Karpi Studio,"+3,722% organic growth. +144% signup conversions. We build Webflow sites that get cited by AI search engines and convert visitors into revenue.",,,,,https://www.karpi.studio/contact,https://www.linkedin.com/company/karpi-studio/,"Magento, Webflow, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: web design, website; wordpress: wordpress; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki, chatgpt; has services/customers/cases language; offers maintenance/support; agency language: case study, partner",BlueSearch embeds in Webflow/Framer sites with a single script tag — easy win for clients.,New,NO,Norway,,2026-05-24T22:25:30+00:00
clockwise_software,Clockwise,clockwise.software,https://clockwise.software/,Sortlist NO – web development,Software Development Outsourcing Company [4.9/5 on Clutch],"An outsourcing software development company that delivers with CPI/SPI variance staying under 10%. Get a skilled, predictable team for your project.",hello@clockwise.software,"CEO"",""nationality"":""Ukraine"",""url"":""https://www.linkedin.com",+47 38 56 10 45,+1 929-309-1526,https://clockwise.software/about/,https://www.linkedin.com/company/clockwise-software,"HubSpot, Magento","ai_interest, communication, public_sector, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: divi; communication: content, public relations; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: case study, partner",Replace HubSpot's basic search with BlueSearch for smarter lead-capture on client portals.,New,NO,Norway,,2026-05-24T22:25:32+00:00
medon_no,Medon,medon.no,https://medon.no/,Sortlist NO – web development,Medon AS - Digital markedsføring - SEO - Nettsider - Nettbutikker og Webutvikling,"Få flere riktige kunder med målbar annonsering, SEO og raske nettsider som konverterer. Medon AS – spesialister i Oslo
Optimale løsninger hvor alle behov og detaljer blir løst riktig og effektivt.","dev@medon.no, kontakt@medon.no, post@medon.no, salg@medon.no, seo@medon.no, support@medon.no",", , , , , ","+47 92 61 71 31, +47 92 61 71 31, +47 92 61 71 31, +47 93 03 52 70, +47 92 61 71 31, +47 92 61 71 31","+47 92 61 71 31, +47 93 03 52 70",https://medon.no/kontakt,,"Concrete CMS, Magento, Sanity, Shopify","ai_interest, communication, public_sector, seo, web_agency",100,A - High fit,"web_agency: nettside, nettsider, webutvikling, digitalbyrå; seo: seo, søkemotoroptimalisering, google ads, synlighet; communication: innhold, content; public_sector: stat, helse, universitet; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: referanser, partner, oppdrag","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:33+00:00
www_techcronus_com,Techcronus,techcronus.com,https://www.techcronus.com/,Sortlist NO – web development,"Microsoft Dynamics, Salesforce & Odoo Partner | AI/ML Solutions | Web & Mobile Solutions | USA, UAE, UK, AUS","Techcronus, a Microsoft Dynamics 365, Salesforce, and Odoo Partner in the USA, UAE, UK, and AUS, offers ERP and CRM solutions, AI-driven web and mobile app development, and end-to-end technology support.","business@techcronus.com, career@techcronus.com",", ",", +91 87809 28142","+45 40 43 96 68, +61 2 9191 9769, +91 87809 28142, +91 93163 65248, +91 93280 62158",https://www.techcronus.com/contact-us,https://in.linkedin.com/company/techcronus-business-solutions,"HubSpot, Magento, Salesforce, Shopify, Umbraco, WooCommerce, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: wordpress, woocommerce; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki, chatgpt; has services/customers/cases language; offers maintenance/support; agency language: partner",Offer BlueSearch as a plug-in AI search add-on for their Umbraco customer base.,New,NO,Norway,,2026-05-24T22:25:35+00:00
www_digitalventures_no,Digitalventures,digitalventures.no,https://www.digitalventures.no/,Sortlist NO – digital agencies,Home - Digital Ventures,Digital Ventures AS is an IT consulting firm based in Oslo. We supply our customers with highly qualified project managers and IT subject matter experts.,post@digitalventures.no,,,+47 96 83 08 06,https://www.digitalventures.no/#About,,"Magento, WordPress, WordPress 6.9.4","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, website; wordpress: wordpress, wp-content, divi; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki, automatisering; has services/customers/cases language; offers maintenance/support; agency language: vi utvikler, våre kunder, partner; NON-AGENCY penalty (bank ): -30","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:46+00:00
www_hornmedia_no,Hornmedia,hornmedia.no,https://www.hornmedia.no/,Sortlist NO – digital agencies,Digitalt mediebyrå for SMB-markedet | Horn Media,"Med vår kunnskap hjelper vi deg til å få flere riktige kunder, utvikle de kundene du har og investerer dine penger smartere slik at du øker din fortjeneste.","haakon@hornmedia.no, mail@hornmedia.no, mithuna@hornmedia.no",", , ",", +47 93 76 68 07, ",,https://www.hornmedia.no/om-oss,https://www.linkedin.com/company/horn-media/,"Magento, Shopify, WooCommerce","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: webdesign, nettside, nettsider, website; wordpress: woocommerce; seo: seo, google ads, synlighet; communication: kommunikasjon, innhold, content; public_sector: stat, helse; ai_interest: ai, ki, kunstig intelligens; has services/customers/cases language; offers maintenance/support; agency language: vi lager nettsider, våre kunder, partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:47+00:00
mediabooster_no,Mediabooster,mediabooster.no,https://mediabooster.no/,Sortlist NO – digital agencies,Mediabooster - Ditt teknologi og markedføringsbyrå i Norge,"Vi hjelper bedrifter å skalere gjennom digital vekst – fra AI og webløsninger til datadrevet markedsføring, innhold og strategi som gir målbare resultater.","post@mediabooster.no, u003ehector@mediabooster.no, u003ejonas@mediabooster.no, u003ejulia@mediabooster.no, u003ekvam@mediabooster.no, u003ematteus@mediabooster.no, u003epiotr@mediabooster.no, u003esylvia@mediabooster.no",", leder-Mediabooster-Norge-100x100.webp"",""__typename"":""MediaSi, Partner \u0026 Videoprodusent"",""rekkefolge"":2,""email"":""\u003, manager "",""rekkefolge"":5,""email"":""\u003cp\u003ejulia@mediabo, Lead \u0026 Rådgiver"",""rekkefolge"":2,""email"":""\u003cp\u003ek, , , ","+47 97 88 88 27, +47 97 88 88 27, +47 97 88 88 27, +47 97 88 88 27, +47 97 88 88 27, +47 97 88 88 27, +47 97 88 88 27, +47 97 88 88 27",+47 97 88 88 27,https://mediabooster.no/om-oss,https://no.linkedin.com/company/mediabooster-norge,"Magento, WooCommerce, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider, webutvikling, website; wordpress: wordpress, wp-content; seo: seo, synlighet; communication: innhold, content; public_sector: offentlig, stat; ai_interest: ai, ki, kunstig intelligens, chatgpt; has services/customers/cases language; offers maintenance/support; agency language: vi utvikler, partner, vi hjelper bedrifter; NON-AGENCY penalty (restaurant): -30","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:47+00:00
www_proffcom_no,Proffcom,proffcom.no,http://www.proffcom.no/,Sortlist NO – E-commerce development,Releasy - Outsourcing av kundeservice,Releasy er en av Nordens ledende leverandører av kundeservicetjenester. Leverandør av kunstig intelligens og salgstjenester.,,,,,https://releasy.no/kontakt/,https://www.linkedin.com/company/releasynorge/,"Magento, WordPress, WordPress 6.9.4","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: wordpress, wp-content; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki, kunstig intelligens; has services/customers/cases language; offers maintenance/support","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:50+00:00
www_represent_no,Represent,represent.no,https://www.represent.no/,Sortlist NO – E-commerce development,Represent - Business-critical web solutions,"At Represent we build business-critical websites, e-commerce platforms, and web applications with Sanity and Shopify, accelerated by AI.",hello@represent.no,,+47 90 13 87 81,+47 90 13 87 81,https://www.represent.no/about,https://no.linkedin.com/company/represent-agency,"Contentful, DotNetNuke, HubSpot, Magento, Sanity, Shopify, Storyblok, Webflow","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: divi; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: case study, partner",BlueSearch embeds in Webflow/Framer sites with a single script tag — easy win for clients.,New,NO,Norway,,2026-05-24T22:25:53+00:00
leidar_no,Leidar,leidar.no,https://leidar.no/,Sortlist NO – digital agencies,Forside Leidar Norway - Leidar Norway,"Leidar er et kommunikasjonsbyrå som hjelper våre kunder med å sette kurs, navigere og kommunisere effektivt.","anders.martin.helle@leidar.com, anne.lippert@leidar.com, contact@leidar.com, gro.hoelmebakk@leidar.com, helen.docker@leidar.com, hilde.holmesland@leidar.com, ingrid.h.warner@leidar.com, klipper@leidar.com, mari.finnestad@leidar.com, marianne.fekene@leidar.com, marianne.kleven@leidar.com, rolf.olsen@leidar.com",", , , , , , partner (i permisjon) +47 94, , Daglig leder +47 970 80 096 </div, , , Gründer <div class=""contacttop-co",", , , , , , , , , , , ","+47 47 76 20 66, +47 48 19 89 98, +47 91 17 89 90, +47 91 70 66 44, +47 92 09 85 14, +47 92 24 92 90, +47 94 87 88 86, +47 95 16 35 33, +47 95 73 20 02, +47 97 08 00 96, +47 98 26 03 20",https://leidar.no/kontakt-oss/,https://www.linkedin.com/company/leidar-norway/,"Magento, WordPress, WordPress 7.0","ai_interest, communication, seo, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: wordpress, wp-content; seo: seo; communication: kommunikasjonsbyrå, kommunikasjon, content; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: våre kunder, partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:53+00:00
hackmamba_io,Hackmamba,hackmamba.io,https://hackmamba.io/,Sortlist NO – digital agencies,Developer Marketing Agency for Technical Products | Hackmamba,"We help developer tools build marketing programs that educate, engage, and turn awareness into lasting adoption.",,,,,https://hackmamba.io/developer-marketing/full-cycle-developer-growth-agency/#developer-adoption-architecture,https://www.linkedin.com/company/hackmamba-io,"Astro v4.16.18, Magento, Sanity","ai_interest, communication, public_sector, seo, web_agency",100,A - High fit,"web_agency: website; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:55+00:00
www_mediaaccess_no,Mediaaccess,mediaaccess.no,http://www.mediaaccess.no/,Sortlist NO – digital agencies,Media Access | Norges første AI-drevne markedsføringsbyrå,"Over 25 års erfaring kombinert med fremtidsrettet AI-teknologi. Vi er motoren bak en ny generasjon markedsføring der teknologi, data og erfaring jobber sammen.",post@mediaaccess.no,,,,http://www.mediaaccess.no/kontakt,,HubSpot,"ai_interest, communication, public_sector, seo, web_agency",100,A - High fit,"web_agency: webdesign, nettside, nettsider, website; seo: seo, søkemotoroptimalisering, google ads, synlighet; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: referanser",Replace HubSpot's basic search with BlueSearch for smarter lead-capture on client portals.,New,NO,Norway,,2026-05-24T22:25:55+00:00
